hand,num_opponents,equity,iters
K5s,6,0.170363,200000
K5s,7,0.151313,200000
K5s,8,0.137596,200000
K6o,1,0.543275,200000
K6o,2,0.35005,200000
K6o,3,0.252093,200000
K6o,4,0.196851,200000
K6o,5,0.158787,200000
K6o,6,0.133175,200000
K6o,7,0.113114,200000
K6o,8,0.097746,200000
K6s,1,0.566688,200000
K6s,2,0.385588,200000
K6s,3,0.290787,200000
K6s,4,0.236379,200000
K6s,5,0.199502,200000
K6s,6,0.174063,200000
K6s,7,0.156156,200000
K6s,8,0.140249,200000
K7o,1,0.55119,200000
K7o,2,0.358657,200000
K7o,3,0.261498,200000
K7o,4,0.202663,200000
K7o,5,0.166525,200000
K7o,6,0.13975,200000
K7o,7,0.118059,200000
K7o,8,0.102342,200000
K7s,1,0.574893,200000
K7s,2,0.391723,200000
K7s,3,0.2983,200000
K7s,4,0.244563,200000
K7s,5,0.207704,200000
K7s,6,0.182499,200000
K7s,7,0.159859,200000
K7s,8,0.14431,200000
K8o,1,0.561218,200000
K8o,2,0.370862,200000
K8o,3,0.270809,200000
K8o,4,0.214112,200000
K8o,5,0.174403,200000
K8o,6,0.145696,200000
K8o,7,0.125002,200000
K8o,8,0.1066,200000
K8s,1,0.58435,200000
K8s,2,0.402942,200000
K8s,3,0.307586,200000
K8s,4,0.251409,200000
K8s,5,0.213795,200000
K8s,6,0.186111,200000
K8s,7,0.164595,200000
K8s,8,0.148091,200000
K9o,1,0.57701,200000
K9o,2,0.392279,200000
K9o,3,0.294918,200000
K9o,4,0.234243,200000
K9o,5,0.194527,200000
K9o,6,0.165053,200000
K9o,7,0.142222,200000
K9o,8,0.121758,200000
K9s,1,0.600302,200000
K9s,2,0.421867,200000
K9s,3,0.330246,200000
K9s,4,0.270841,200000
K9s,5,0.231196,200000
K9s,6,0.204596,200000
K9s,7,0.18123,200000
K9s,8,0.161742,200000
KJo,1,0.606322,200000
KJo,2,0.431712,200000
KJo,3,0.337951,200000
KJo,4,0.27773,200000
KJo,5,0.23406,200000
KJo,6,0.202375,200000
KJo,7,0.176048,200000
KJo,8,0.155842,200000
KJs,1,0.62491,200000
KJs,2,0.459756,200000
KJs,3,0.367768,200000
KJs,4,0.310972,200000
KJs,5,0.268457,200000
KJs,6,0.240069,200000
KJs,7,0.214833,200000
KJs,8,0.193998,200000
KK,1,0.822948,200000
KK,2,0.690982,200000
KK,3,0.581337,200000
KK,4,0.499013,200000
KK,5,0.426822,200000
KK,6,0.376729,200000
KK,7,0.330287,200000
KK,8,0.292756,200000
KQo,1,0.612995,200000
KQo,2,0.443821,200000
KQo,3,0.351667,200000
KQo,4,0.292473,200000
KQo,5,0.25149,200000
KQo,6,0.217945,200000
KQo,7,0.191798,200000
KQo,8,0.1698,200000
KQs,1,0.633472,200000
KQs,2,0.470774,200000
KQs,3,0.381519,200000
KQs,4,0.325952,200000
KQs,5,0.284275,200000
KQs,6,0.253467,200000
KQs,7,0.224783,200000
KQs,8,0.204296,200000
KTo,1,0.59734,200000
KTo,2,0.419039,200000
KTo,3,0.323735,200000
